granularity,date,total_net_purchases_tonnes,poland_tonnes,china_tonnes,uzbekistan_tonnes,kazakhstan_tonnes,source
annual,2014-12-31,601.2,,,,WGC GDT via Visual Capitalist (Oct 2025), annual net purchases
annual,2015-12-31,579.6,,,,WGC GDT via Visual Capitalist (Oct 2025), annual net purchases
annual,2016-12-31,394.9,,,,WGC GDT via Visual Capitalist (Oct 2025), annual net purchases
annual,2017-12-31,378.6,,,,WGC GDT via Visual Capitalist (Oct 2025), annual net purchases
annual,2018-12-31,656.2,,,,WGC GDT via Visual Capitalist (Oct 2025), annual net purchases
annual,2019-12-31,605.4,,,,WGC GDT via Visual Capitalist (Oct 2025), annual net purchases
annual,2020-12-31,254.9,,,,WGC GDT via Visual Capitalist (Oct 2025), annual net purchases
annual,2021-12-31,450.1,,,,WGC GDT via Visual Capitalist (Oct 2025), annual net purchases
annual,2022-12-31,1081.9,,,,WGC GDT FY2023 central-banks page, annual net purchases
annual,2023-12-31,1037.4,,,,WGC GDT FY2023 central-banks page, annual net purchases
annual,2024-12-31,1092.4,,,,WGC GDT FY2025 central-banks page, annual net purchases
annual,2025-12-31,863.3,,,,WGC GDT FY2025 central-banks page (Q4 230t, +6% q/q), annual net purchases
quarterly,2023-12-31,229.0,,,,WGC GDT FY2023 central-banks page (Q4 2023 only)
monthly,2025-03-31,17.0,,,,WGC Central Bank Gold Statistics Mar 2025 (via Scribd report)
monthly,2026-03-31,,,,
monthly,2026-04-30,17.0,,,,WGC Central Bank Gold Statistics Apr 2026 (gold-focus, Jun 12 2026)
monthly,2026-05-31,41.0,18.0,10.0,9.0,7.0,WGC Central Bank Gold Statistics May 2026 (gold-focus, Jul 2 2026); sellers: Turkey -3t, Russia -6t
