month,net_t,source,note
2020-11,-6.5,https://www.gold.org/goldhub/gold-focus/2021/01/central-banks-return-net-sales-november,as-published
2020-12,20.6,https://www.gold.org/goldhub/gold-focus/2021/03/central-banks-begin-2021-net-sales-january,cited-within-Jan2021-report
2021-01,-9.4,https://www.gold.org/goldhub/gold-focus/2021/03/central-banks-begin-2021-net-sales-january,as-published
2021-02,8.8,https://www.gold.org/goldhub/gold-focus/2021/04/central-bank-demand-remained-muted-february,as-published
2021-07,30.1,https://www.gold.org/goldhub/gold-focus/2021/09/central-banks-maintain-interest-gold-july,as-published
2021-11,-21.5,https://www.gold.org/goldhub/gold-focus/2022/01/central-banks-slide-net-sales-november,as-published
2021-12,14.2,https://www.gold.org/goldhub/gold-focus/2022/02/central-banks-flipped-back-net-purchases-december,as-published
2022-01,-12.0,https://www.gold.org/goldhub/gold-focus/2022/03/central-bank-selling-outweighs-buying-start-2022,as-published
2022-05,35.0,https://www.gold.org/goldhub/gold-focus/2022/07/central-banks-add-more-gold-month-may,as-published
2022-06,59.0,https://www.gold.org/goldhub/gold-focus/2022/08/central-bank-buying-strengthens-june,as-published-revised-to-64t-in-Dec22-report
2022-07,37.0,https://www.gold.org/goldhub/gold-focus/2022/09/central-banks-appetite-gold-continues-july,as-published
2022-10,31.0,https://www.gold.org/goldhub/gold-focus/2022/12/central-banks-maintain-their-appetite-gold,as-published-revised-to-34t-in-Nov22-report
2022-11,50.0,https://www.gold.org/goldhub/gold-focus/2023/01/central-banks-add-more-gold-november-china-joins-fray,as-published-revised-to-60t-in-Dec22-report
2022-12,28.0,https://www.gold.org/goldhub/gold-focus/2023/02/central-banks-round-2022-more-net-purchases-december,as-published
2023-01,74.0,https://www.gold.org/goldhub/gold-focus/2023/04/central-banks-show-little-sign-buyer-fatigue-february,cited-within-Feb2023-report
2023-02,52.0,https://www.gold.org/goldhub/gold-focus/2023/04/central-banks-show-little-sign-buyer-fatigue-february,as-published
2023-04,-71.0,https://www.gold.org/goldhub/gold-focus/2023/06/central-bank-demand-flipped-negative-april-amid-turkish-selling,as-published-revised-to-69t-in-May23-report
2023-05,-27.0,https://www.gold.org/goldhub/gold-focus/2023/07/central-banks-remained-net-sellers-may-picture-improves,as-published
2023-06,55.0,https://www.gold.org/goldhub/gold-focus/2023/08/central-banks-return-net-buying-june,as-published
2023-07,55.0,https://www.gold.org/goldhub/gold-focus/2023/09/central-bank-gold-buying-remains-hot-july,as-published
2023-08,77.0,https://www.gold.org/goldhub/gold-focus/2023/10/central-bank-demand-still-sizzling-in-august,as-published
2023-09,77.0,https://www.gold.org/goldhub/gold-focus/2023/11/central-banks-bought-77t-september,as-published
2023-10,42.0,https://www.gold.org/goldhub/gold-focus/2023/12/central-banks-summer-buying-continues-october,as-published
2023-11,44.0,https://www.gold.org/goldhub/gold-focus/2024/01/central-banks-bought-net-44t-gold-november,as-published
2023-12,28.0,https://www.gold.org/goldhub/gold-focus/2024/02/central-bank-gold-statistics-december-2023,as-published
2024-01,39.0,https://www.gold.org/goldhub/gold-focus/2024/03/central-banks-accumulate-more-gold-january-starting-2024-they-mean-go,as-published-revised-to-45t-in-Feb24-report
2024-02,19.0,https://www.gold.org/goldhub/gold-focus/2024/04/central-banks-bolster-gold-reserves-further-february-albeit-slower-pace,as-published
2024-03,16.0,https://www.gold.org/goldhub/gold-focus/2024/05/central-bank-gold-statistics-march-2024,as-published
2024-04,33.0,https://www.gold.org/goldhub/gold-focus/2024/06/central-bank-gold-buying-picks-april,as-published
2024-05,10.0,https://www.gold.org/goldhub/gold-focus/2024/07/central-bank-gold-statistics-May-2024,meta-description
2024-06,12.0,https://www.gold.org/goldhub/gold-focus/2024/08/central-bank-gold-statistics-june-2024,as-published
2024-07,37.0,https://www.gold.org/goldhub/gold-focus/2024/09/central-bank-gold-statistics-july-2024,as-published
2024-08,8.0,https://www.gold.org/goldhub/gold-focus/2024/10/central-banks-report-modest-demand-gold-august,as-published
2024-09,40.0,https://www.gold.org/goldhub/gold-focus/2024/11/central-bank-gold-statistics-september-2024,meta-description
2024-10,47.0,https://www.gold.org/goldhub/gold-focus/2024/12/central-bank-gold-statistics-october-2024,as-published
2024-11,53.0,https://www.gold.org/goldhub/gold-focus/2025/01/central-bank-gold-statistics-november-2024,as-published
2024-12,-3.0,https://www.gold.org/goldhub/gold-focus/2025/02/central-bank-gold-statistics-december-2024,pdf-narrative
2025-01,18.0,https://www.gold.org/goldhub/gold-focus/2025/03/central-banks-stay-bullish-bullion-january,as-published
2025-02,24.0,https://www.gold.org/goldhub/gold-focus/2025/04/central-banks-keep-gold-focus-february,as-published
2025-03,17.0,https://www.gold.org/goldhub/gold-focus/2025/05/central-bank-gold-statistics-march-2025,pdf-narrative
2025-04,12.0,https://www.gold.org/goldhub/gold-focus/2025/06/central-bank-gold-buying-slowed-april,as-published
2025-05,20.0,https://www.gold.org/goldhub/gold-focus/2025/07/central-bank-gold-buying-picks-may,as-published
2025-06,22.0,https://www.gold.org/goldhub/gold-focus/2025/08/central-bank-gold-statistics-june-2025,pdf-narrative
2025-07,10.0,https://www.gold.org/goldhub/gold-focus/2025/09/central-bank-gold-statistics-central-bank-gold-buying-july-slows-remains,as-published
2025-08,19.0,https://www.gold.org/goldhub/gold-focus/2025/10/central-bank-gold-statistics-central-bank-gold-buying-rebounds-august,meta-description
