date,total_net_purchases_tonnes
2020-11-30,-6.5
2020-12-31,20.6
2021-01-31,-9.4
2021-02-28,8.8
2021-07-31,30.1
2021-11-30,-21.5
2021-12-31,14.2
2022-01-31,-12
2022-05-31,35
2022-06-30,59
2022-07-31,37
2022-10-31,31
2022-11-30,50
2022-12-31,28
2023-01-31,74
2023-02-28,52
2023-04-30,-71
2023-05-31,-27
2023-06-30,55
2023-07-31,55
2023-08-31,77
2023-09-30,77
2023-10-31,42
2023-11-30,44
2023-12-31,28
2024-01-31,39
2024-02-29,19
2024-03-31,16
2024-04-30,33
2024-05-31,10
2024-06-30,12
2024-07-31,37
2024-08-31,8
2024-09-30,40
2024-10-31,47
2024-11-30,53
2024-12-31,-3
2025-01-31,18
2025-02-28,24
2025-03-31,17
2025-04-30,12
2025-05-31,20
2025-06-30,22
2025-07-31,10
2025-08-31,19
2025-09-30,39
2025-10-31,53
2025-11-30,45
2025-12-31,19
2026-01-31,5
2026-02-28,27
2026-03-31,-30
2026-04-30,19
2026-05-31,41
2026-06-30,51
