n_trades,sharpe,total_return_pct,win_rate,profit_factor,max_drawdown_pct,avg_trade_pct,exposure,avg_bars,pair,tf,strategy,cost,period_start,period_end,bars,oos
3,0.274,1.02,66.7,2.98,-1.2,0.343,35.4,61.7,AUDJPY,W1,carry-trade-major-pairs,strict,2016-08-05,2026-08-07,523,all
3,0.318,1.82,66.7,4.6,-1.05,0.608,71.7,125.0,AUDUSD,W1,carry-trade-major-pairs,strict,2016-08-05,2026-08-07,523,all
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EURCHF,W1,carry-trade-major-pairs,strict,2016-08-05,2026-08-07,523,all
4,-0.244,-1.81,25.0,0.07,-1.97,-0.456,99.0,129.5,EURGBP,W1,carry-trade-major-pairs,strict,2016-08-05,2026-08-07,523,all
4,-0.409,-2.22,0.0,0.0,-2.73,-0.558,30.4,39.8,EURJPY,W1,carry-trade-major-pairs,strict,2016-08-05,2026-08-07,523,all
3,-0.112,-0.88,0.0,0.0,-2.65,-0.549,14.7,25.7,EURUSD,W1,carry-trade-major-pairs,strict,2016-08-05,2026-08-07,523,all
1,0.473,1.55,100.0,,-0.7,1.552,32.7,171.0,GBPJPY,W1,carry-trade-major-pairs,strict,2016-08-05,2026-08-07,523,all
10,-0.225,-1.71,30.0,0.55,-2.66,-0.17,76.3,39.9,GBPUSD,W1,carry-trade-major-pairs,strict,2016-08-05,2026-08-07,523,all
1,0.402,1.2,100.0,,-0.52,1.202,16.4,86.0,NZDUSD,W1,carry-trade-major-pairs,strict,2016-08-05,2026-08-07,523,all
2,-0.24,-0.38,50.0,0.11,-0.6,-0.189,3.3,8.5,USDCAD,W1,carry-trade-major-pairs,strict,2016-08-05,2026-08-07,523,all
6,-0.344,-1.56,33.3,0.29,-2.67,-0.261,53.9,47.0,USDCHF,W1,carry-trade-major-pairs,strict,2016-08-05,2026-08-07,523,all
1,0.236,1.17,100.0,,-1.15,1.167,36.7,192.0,USDJPY,W1,carry-trade-major-pairs,strict,2016-08-05,2026-08-07,523,all
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDJPY,H4,central-bank-decision-drift,strict,2023-10-18,2026-08-05,4444,all
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDUSD,H4,central-bank-decision-drift,strict,2023-10-18,2026-08-05,4456,all
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EURCHF,H4,central-bank-decision-drift,strict,2023-10-18,2026-08-05,4442,all
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EURGBP,H4,central-bank-decision-drift,strict,2023-10-18,2026-08-05,4446,all
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EURJPY,H4,central-bank-decision-drift,strict,2023-10-18,2026-08-05,4444,all
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EURUSD,H4,central-bank-decision-drift,strict,2023-10-18,2026-08-05,4441,all
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GBPJPY,H4,central-bank-decision-drift,strict,2023-10-18,2026-08-05,4443,all
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GBPUSD,H4,central-bank-decision-drift,strict,2023-10-18,2026-08-05,4441,all
1,-0.189,-1.08,0.0,0.0,-2.41,-1.084,0.6,27.0,NZDUSD,H4,central-bank-decision-drift,strict,2023-10-18,2026-08-05,4455,all
1,0.349,0.85,100.0,,-1.46,0.852,1.1,49.0,USDCAD,H4,central-bank-decision-drift,strict,2023-10-18,2026-08-05,4456,all
1,-0.022,-0.06,0.0,0.0,-1.35,-0.064,1.1,49.0,USDCHF,H4,central-bank-decision-drift,strict,2023-10-18,2026-08-05,4442,all
