n_trades,sharpe,total_return_pct,win_rate,profit_factor,max_drawdown_pct,avg_trade_pct,exposure,avg_bars,pair,tf,strategy,cost,period_start,period_end,bars,oos
35,-0.716,-9.06,20.0,0.52,-10.92,-0.285,71.3,15.9,AUDJPY,D1,donchian-breakout,strict,2023-08-01,2026-08-05,781,oos
39,-0.821,-10.25,25.6,0.39,-13.86,-0.274,73.5,14.7,AUDUSD,D1,donchian-breakout,strict,2023-08-02,2026-08-05,780,oos
33,-0.924,-11.04,24.2,0.28,-15.54,-0.394,64.3,15.2,EURCHF,D1,donchian-breakout,strict,2023-08-01,2026-08-05,781,oos
39,-1.061,-11.52,30.8,0.29,-13.75,-0.311,67.0,13.4,EURGBP,D1,donchian-breakout,strict,2023-08-01,2026-08-05,781,oos
37,-0.181,-2.4,37.8,0.86,-8.91,-0.055,73.2,15.5,EURJPY,D1,donchian-breakout,strict,2023-08-01,2026-08-05,781,oos
34,-0.198,-2.46,50.0,0.78,-5.05,-0.075,65.0,14.9,EURUSD,D1,donchian-breakout,strict,2023-08-02,2026-08-05,780,oos
34,-0.588,-7.68,26.5,0.5,-13.37,-0.26,75.9,17.4,GBPJPY,D1,donchian-breakout,strict,2023-08-01,2026-08-05,781,oos
35,-0.42,-5.02,34.3,0.58,-7.78,-0.145,73.7,16.4,GBPUSD,D1,donchian-breakout,strict,2023-08-02,2026-08-05,780,oos
45,-1.449,-16.28,33.3,0.32,-17.13,-0.396,71.8,12.4,NZDUSD,D1,donchian-breakout,strict,2023-08-02,2026-08-05,780,oos
33,0.119,1.24,36.4,1.15,-5.9,0.056,71.7,16.9,USDCAD,D1,donchian-breakout,strict,2023-08-02,2026-08-05,780,oos
30,0.346,4.09,46.7,1.41,-6.33,0.139,70.8,18.4,USDCHF,D1,donchian-breakout,strict,2023-08-02,2026-08-05,780,oos
35,-0.219,-3.2,40.0,0.76,-9.37,-0.118,71.9,16.0,USDJPY,D1,donchian-breakout,strict,2023-08-02,2026-08-05,780,oos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDJPY,H4,harami-pullback,strict,2025-10-02,2026-08-05,1333,oos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDUSD,H4,harami-pullback,strict,2025-10-02,2026-08-05,1337,oos
1,-1.159,-0.84,0.0,0.0,-1.0,-0.842,0.6,8.0,EURCHF,H4,harami-pullback,strict,2025-10-02,2026-08-05,1333,oos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EURGBP,H4,harami-pullback,strict,2025-10-02,2026-08-05,1334,oos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EURJPY,H4,harami-pullback,strict,2025-10-02,2026-08-05,1333,oos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EURUSD,H4,harami-pullback,strict,2025-10-02,2026-08-05,1332,oos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GBPJPY,H4,harami-pullback,strict,2025-10-02,2026-08-05,1333,oos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GBPUSD,H4,harami-pullback,strict,2025-10-02,2026-08-05,1332,oos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NZDUSD,H4,harami-pullback,strict,2025-10-02,2026-08-05,1337,oos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDCAD,H4,harami-pullback,strict,2025-10-02,2026-08-05,1337,oos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDCHF,H4,harami-pullback,strict,2025-10-02,2026-08-05,1333,oos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USDJPY,H4,harami-pullback,strict,2025-10-01,2026-08-05,1331,oos
1,1.698,1.23,100.0,,-0.23,1.231,1.0,13.0,AUDJPY,H4,morning-evening-star,strict,2025-10-02,2026-08-05,1333,oos
4,-0.976,-1.26,25.0,0.27,-1.91,-0.314,2.3,7.8,AUDUSD,H4,morning-evening-star,strict,2025-10-02,2026-08-05,1337,oos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EURCHF,H4,morning-evening-star,strict,2025-10-02,2026-08-05,1333,oos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EURGBP,H4,morning-evening-star,strict,2025-10-02,2026-08-05,1334,oos
1,1.898,1.85,100.0,,0.0,1.847,0.3,4.0,EURJPY,H4,morning-evening-star,strict,2025-10-02,2026-08-05,1333,oos
