n_trades,sharpe,total_return_pct,win_rate,profit_factor,max_drawdown_pct,avg_trade_pct,exposure,avg_bars,pair,tf,strategy,cost,period_start,period_end,bars,oos
301,-0.233,-9.2,35.2,0.95,-27.26,-0.025,79.8,11.8,AUDJPY,H4,breaker-block-continuation,strict,2023-10-18,2026-08-05,4444,all
331,-1.319,-37.67,29.6,0.74,-38.51,-0.139,83.7,11.3,AUDUSD,H4,breaker-block-continuation,strict,2023-10-18,2026-08-05,4456,all
293,-0.808,-22.14,36.2,0.82,-42.31,-0.083,88.3,13.4,EURCHF,H4,breaker-block-continuation,strict,2023-10-18,2026-08-05,4442,all
317,-1.845,-46.39,30.0,0.65,-51.39,-0.193,85.4,12.0,EURGBP,H4,breaker-block-continuation,strict,2023-10-18,2026-08-05,4446,all
316,-0.266,-10.23,35.8,0.94,-25.57,-0.028,81.7,11.5,EURJPY,H4,breaker-block-continuation,strict,2023-10-18,2026-08-05,4444,all
315,0.113,1.88,36.5,1.02,-22.11,0.01,84.3,11.9,EURUSD,H4,breaker-block-continuation,strict,2023-10-18,2026-08-05,4441,all
300,-0.118,-5.57,36.7,0.97,-20.54,-0.013,81.0,12.0,GBPJPY,H4,breaker-block-continuation,strict,2023-10-18,2026-08-05,4443,all
340,-0.261,-11.2,35.0,0.94,-20.4,-0.031,85.3,11.1,GBPUSD,H4,breaker-block-continuation,strict,2023-10-18,2026-08-05,4441,all
350,-0.623,-21.81,33.4,0.88,-28.72,-0.063,83.5,10.6,NZDUSD,H4,breaker-block-continuation,strict,2023-10-18,2026-08-05,4455,all
301,0.214,5.09,41.5,1.05,-19.13,0.023,87.3,12.9,USDCAD,H4,breaker-block-continuation,strict,2023-10-18,2026-08-05,4456,all
326,-0.645,-21.47,34.7,0.87,-29.58,-0.067,87.5,11.9,USDCHF,H4,breaker-block-continuation,strict,2023-10-18,2026-08-05,4442,all
308,-0.143,-6.5,36.4,0.96,-24.83,-0.018,80.3,11.6,USDJPY,H4,breaker-block-continuation,strict,2023-10-18,2026-08-05,4435,all
472,-11.372,-73.23,34.1,0.58,-73.65,-0.272,53.8,6.4,AUDJPY,M15,fvg-fill-continuation,strict,2026-05-13,2026-08-05,5639,all
797,-24.991,-98.97,30.9,0.37,-98.97,-0.565,67.8,4.8,AUDUSD,M15,fvg-fill-continuation,strict,2026-05-13,2026-08-05,5640,all
114,-11.367,-40.55,28.1,0.28,-41.01,-0.452,19.4,9.6,EURCHF,M15,fvg-fill-continuation,strict,2026-05-13,2026-08-05,5639,all
431,-23.271,-94.48,29.2,0.26,-94.54,-0.665,50.0,6.5,EURGBP,M15,fvg-fill-continuation,strict,2026-05-13,2026-08-05,5640,all
480,-10.597,-71.22,32.7,0.6,-71.31,-0.254,54.3,6.4,EURJPY,M15,fvg-fill-continuation,strict,2026-05-13,2026-08-05,5640,all
747,-17.987,-95.78,32.7,0.48,-95.78,-0.415,66.6,5.0,EURUSD,M15,fvg-fill-continuation,strict,2026-05-13,2026-08-05,5639,all
498,-11.432,-73.45,32.5,0.58,-74.94,-0.261,58.4,6.6,GBPJPY,M15,fvg-fill-continuation,strict,2026-05-13,2026-08-05,5640,all
691,-13.496,-89.48,34.9,0.57,-89.63,-0.318,63.2,5.2,GBPUSD,M15,fvg-fill-continuation,strict,2026-05-13,2026-08-05,5639,all
741,-23.512,-98.72,34.1,0.36,-98.74,-0.58,63.8,4.9,NZDUSD,M15,fvg-fill-continuation,strict,2026-05-13,2026-08-05,5639,all
237,-9.42,-50.9,32.9,0.51,-53.24,-0.295,34.3,8.2,USDCAD,M15,fvg-fill-continuation,strict,2026-05-13,2026-08-05,5635,all
497,-16.464,-88.17,32.0,0.43,-88.47,-0.423,59.3,6.7,USDCHF,M15,fvg-fill-continuation,strict,2026-05-13,2026-08-05,5620,all
462,-13.021,-77.49,33.1,0.51,-77.69,-0.317,58.0,7.1,USDJPY,M15,fvg-fill-continuation,strict,2026-05-13,2026-08-05,5622,all
464,-9.91,-57.52,37.3,0.58,-61.46,-0.18,58.9,7.2,AUDJPY,M15,liquidity-sweep-reversal,strict,2026-05-13,2026-08-05,5639,all
391,-13.939,-78.17,32.7,0.39,-78.44,-0.384,44.4,6.4,AUDUSD,M15,liquidity-sweep-reversal,strict,2026-05-13,2026-08-05,5640,all
494,-18.402,-61.96,31.0,0.3,-62.43,-0.195,74.8,8.5,EURCHF,M15,liquidity-sweep-reversal,strict,2026-05-13,2026-08-05,5639,all
476,-23.532,-89.24,22.1,0.22,-89.48,-0.466,60.1,7.1,EURGBP,M15,liquidity-sweep-reversal,strict,2026-05-13,2026-08-05,5640,all
473,-9.541,-54.82,38.7,0.58,-55.64,-0.165,61.2,7.3,EURJPY,M15,liquidity-sweep-reversal,strict,2026-05-13,2026-08-05,5640,all
316,-10.197,-59.48,34.2,0.49,-61.3,-0.281,35.3,6.3,EURUSD,M15,liquidity-sweep-reversal,strict,2026-05-13,2026-08-05,5639,all
488,-10.112,-58.03,36.1,0.59,-58.23,-0.175,60.8,7.0,GBPJPY,M15,liquidity-sweep-reversal,strict,2026-05-13,2026-08-05,5640,all
436,-12.345,-72.65,32.3,0.48,-72.91,-0.293,49.8,6.4,GBPUSD,M15,liquidity-sweep-reversal,strict,2026-05-13,2026-08-05,5639,all
377,-12.196,-75.49,32.9,0.46,-75.58,-0.366,41.5,6.2,NZDUSD,M15,liquidity-sweep-reversal,strict,2026-05-13,2026-08-05,5639,all
494,-13.301,-58.47,34.4,0.42,-59.04,-0.176,71.7,8.2,USDCAD,M15,liquidity-sweep-reversal,strict,2026-05-13,2026-08-05,5635,all
449,-15.441,-76.34,32.7,0.4,-76.7,-0.318,56.0,7.0,USDCHF,M15,liquidity-sweep-reversal,strict,2026-05-13,2026-08-05,5620,all
487,-10.539,-60.12,35.5,0.56,-60.93,-0.186,62.5,7.2,USDJPY,M15,liquidity-sweep-reversal,strict,2026-05-13,2026-08-05,5622,all
1131,-2.158,-73.71,35.4,0.78,-75.7,-0.113,52.8,8.1,AUDJPY,H1,order-block-reversal,strict,2023-10-18,2026-08-05,17268,all
1269,-2.476,-81.09,36.2,0.77,-81.42,-0.125,51.3,7.0,AUDUSD,H1,order-block-reversal,strict,2023-10-18,2026-08-05,17353,all
1042,-4.774,-91.43,29.8,0.57,-92.05,-0.232,67.6,11.2,EURCHF,H1,order-block-reversal,strict,2023-10-18,2026-08-05,17266,all
1191,-5.029,-95.7,31.2,0.56,-95.72,-0.259,59.4,8.6,EURGBP,H1,order-block-reversal,strict,2023-10-18,2026-08-05,17282,all
1131,-0.53,-31.0,38.3,0.94,-43.33,-0.029,53.1,8.1,EURJPY,H1,order-block-reversal,strict,2023-10-18,2026-08-05,17267,all
1420,-3.691,-92.37,33.5,0.69,-92.71,-0.176,56.7,6.9,EURUSD,H1,order-block-reversal,strict,2023-10-18,2026-08-05,17256,all
1184,-1.061,-49.31,37.1,0.89,-59.67,-0.053,53.4,7.8,GBPJPY,H1,order-block-reversal,strict,2023-10-18,2026-08-05,17267,all
