key,label,n,is_mean,is_t,is_nw,is_trim,p_is,ho_mean,ho_t,ho_nw,ho_win,p_ho,wf_mean,wf_t,wf_win,wf_n,p_wf,boot_p5,boot_p50,boot_p95,p_leq_0,wf_trim,n_gates,VERDICT,gates
news_USDCHF_0.5_1_HM,news USDCHF thr=0.5 h=1 tier=HM,2856,0.0001489018005954834,1.392844349009093,1.392570309951235,0.00020325187506756452,0.007992007992007992,0.00047890436254243335,3.0684846919352875,2.406713360148576,0.5445462114904246,0.000999000999000999,0.00026552008912811807,2.7373861819226706,0.7,10,0.000999000999000999,0.00011025190076567711,0.0002636070438891087,0.0004186712530743422,0.0016,0.0002570166290969252,5,FAIL,|t_is|>2
streak_EURUSD_H,streak EURUSD tier=H,244,-0.001054929808481567,-2.1270678832215597,-1.9433182851705921,-0.0009605049006846255,0.97002997002997,0.001315543614929164,3.1451193166236164,2.3122768828455538,0.5875706214689266,0.000999000999000999,0.0007153740071985894,,,7,0.008991008991008992,0.00021293893525028314,0.0006720278673835801,0.0012887887242303236,0.0032,0.000470419507168506,5,FAIL,p_is<0.01
news_USDJPY_1.0_5_H,news USDJPY thr=1.0 h=5 tier=H,280,-0.0016413388285389096,-1.8083072014026016,-2.326827754088533,-0.0022865146462996127,0.9430569430569431,0.0026979401413648554,2.4013084351413183,2.1862226910127442,0.5205479452054794,0.006993006993006993,0.0015347261517611212,,,8,0.000999000999000999,0.00031689205988781404,0.0015347261517611212,0.0029435748004441728,0.0236,0.0010128821638049304,4,FAIL,|t_is|>2; p_is<0.01
news_USDCHF_0.5_2_HM,news USDCHF thr=0.5 h=2 tier=HM,2855,2.4861006102850004e-05,0.16652139509580224,0.15248314304441538,0.00015086177078979114,0.18281718281718282,0.0007000300964700445,3.2267635288610226,2.570852298177698,0.5533333333333333,0.000999000999000999,0.000281378195780816,1.5760502149333566,0.6,10,0.000999000999000999,2.897405746859657e-06,0.00027925528691869996,0.0005581742441530185,0.0486,0.00027097211417385187,4,FAIL,|t_is|>2; p_is<0.01
news_USDCHF_1.0_3_HM,news USDCHF thr=1.0 h=3 tier=HM,1481,-0.00029852488686141974,-1.2233932035326933,-1.1756302403812349,-0.00012670601983309158,0.7902097902097902,0.0010141465503452434,2.704112340056022,2.0655855420044573,0.5224137931034483,0.002997002997002997,0.00035374407138955347,1.554376461537013,0.3,10,0.000999000999000999,3.104558787714636e-05,0.0003432791095731458,0.0007433606605718884,0.0352,0.0002193749035925451,4,FAIL,|t_is|>2; p_is<0.01
basket_0.5_5_H,basket thr=0.5 h=5 tier=H,542,-0.0003661557419277995,-0.5604852411105533,-0.5429713916881352,-0.0005994895610955544,1.0,0.0015568384677037465,2.9933096663346683,2.39085361640909,0.543026706231454,0.000999000999000999,0.0006584066794929994,,,9,0.000999000999000999,0.00016263573620244368,0.0006584066794929991,0.0012499313665389697,0.0268,0.0004502400618621065,4,FAIL,|t_is|>2; p_is<0.01
sizez_USDCAD_1.0_HM,size|z| USDCAD thr=1.0 tier=HM,1481,2.6464158309975835e-05,0.07050773733558208,0.06607193610787286,-1.4322895909646264e-05,0.5494505494505495,0.0009788220393046052,3.261886906396557,2.711364766626308,0.5637931034482758,0.000999000999000999,0.0004173381170123661,1.6052500107484606,0.5,10,0.000999000999000999,6.194078245723611e-05,0.0003956442116236247,0.0008552051544882288,0.0176,0.00024042200579844789,4,FAIL,|t_is|>2; p_is<0.01
streak_USDJPY_HM,streak USDJPY tier=HM,1589,0.00020345129116785355,1.2457842372305037,0.9890723836370826,0.0001620941198947804,0.03496503496503497,0.0015117294597038543,5.526910099396618,3.957449819857841,0.586053412462908,0.000999000999000999,0.0007616297320367435,2.8706802703217447,0.8,10,0.000999000999000999,0.0003464899935901928,0.000756951646621584,0.001173933986358929,0.0014,0.0007714409150945847,4,FAIL,|t_is|>2; p_is<0.01
news_EURUSD_0.5_5_H,news EURUSD thr=0.5 h=5 tier=H,542,-0.0004307102432509324,-0.6610073232513196,-0.7198779787635016,-0.0007107253438325419,0.6893106893106893,0.0016744370613453734,2.989091174785512,2.4010483975925743,0.5519287833827893,0.000999000999000999,0.0006261433438899174,,,9,0.001998001998001998,0.00020126624863074817,0.0006261433438899174,0.0010598467164266866,0.0268,0.000528889852978838,4,FAIL,|t_is|>2; p_is<0.01
news_USDJPY_0.5_5_H,news USDJPY thr=0.5 h=5 tier=H,542,-0.0006375822956729777,-0.8679140405202489,-0.9018915447354406,-0.000572546705637113,0.7912087912087912,0.0022870800536054564,3.15648126972486,2.6678946564639414,0.5519287833827893,0.001998001998001998,0.0007992800424723866,,,9,0.001998001998001998,9.476647235743841e-05,0.0007045135701149481,0.0017220821524075234,0.0268,0.00037083896559621986,4,FAIL,|t_is|>2; p_is<0.01
streak_USDJPY_H,streak USDJPY tier=H,244,-0.0012604437115128486,-1.889320941011999,-1.7432268088370622,-0.0011592363387591266,0.9630369630369631,0.002061050872921872,3.952111615010985,3.3972428432551527,0.6214689265536724,0.000999000999000999,0.0010877750369050442,,,7,0.001998001998001998,0.00047012907418218623,0.0010877750369050442,0.0016870406171896235,0.0032,0.0010606045106907346,4,FAIL,|t_is|>2; p_is<0.01
streak_EURUSD_HM,streak EURUSD tier=HM,1589,5.4881937247622644e-05,0.3656738650959816,0.3061400724354971,6.955237417460418e-05,0.17282717282717283,0.0006756441934988585,3.281036435768592,2.327067614974896,0.5356083086053413,0.000999000999000999,0.00032595018977328035,1.8946954692506155,0.7,10,0.002997002997002997,6.100422286717137e-05,0.0003238423882507412,0.0005976039118706828,0.0194,0.00031443181830455823,4,FAIL,|t_is|>2; p_is<0.01
streak_GBPUSD_HM,streak GBPUSD tier=HM,1589,8.954297309330178e-05,0.4756110370369279,0.37334172691911904,0.00019452623691582709,0.18981018981018982,0.0010292053489716541,4.326748569127472,3.079561241361292,0.5741839762611276,0.000999000999000999,0.00038525514183288185,1.6551141733161119,0.6,10,0.002997002997002997,3.378249056187734e-05,0.00037912304091979423,0.0007609096664369751,0.036,0.00035904938061220284,4,FAIL,|t_is|>2; p_is<0.01
sizez_EURUSD_0.5_H,size|z| EURUSD thr=0.5 tier=H,545,-0.0003920426474353352,-0.8611151487549098,-0.7716091479025096,-0.0004256165161353416,0.9120879120879121,0.0009452428318680075,2.461884021533481,2.1000217278776354,0.5441176470588235,0.000999000999000999,0.0005232035512123711,,,9,0.003996003996003996,0.00021685486464877526,0.000504776464441045,0.0008843796839206982,0.001,0.00039600550099496074,4,FAIL,|t_is|>2; p_is<0.01
