name,n,is_mean,is_t,p_is,ho_mean,ho_t,ho_nw,p_ho,wf_mean,p_wf,boot_p,trim,VERDICT,gates
intraday_h12h_USDJPY,809,0.0006,2.99,0.002,-0.0001,-0.42,-0.42,0.6563,0.0003,0.001,0.0476,0.0004,FAIL,ho t>2 & p<0.05
intraday_h2h_USDJPY,809,0.0003,2.74,0.003,-0.0,-0.15,-0.18,0.5475,0.0002,0.001,0.0244,0.0003,FAIL,ho t>2 & p<0.05
intraday_h8h_USDJPY,809,0.0004,2.61,0.006,-0.0002,-0.71,-0.79,0.7562,0.0002,0.001,0.0568,0.0003,FAIL,ho t>2 & p<0.05; boot P(<=0)<0.05
intraday_h24h_USDJPY,807,0.0008,2.46,0.005,-0.0002,-0.59,-0.56,0.7073,0.0004,0.001,0.065,0.0003,FAIL,ho t>2 & p<0.05; boot P(<=0)<0.05
intraday_h12h_basket_high,254,0.0007,2.39,0.007,-0.0001,-0.3,-0.34,0.6094,0.0005,0.001,0.0634,0.0004,FAIL,ho t>2 & p<0.05; boot P(<=0)<0.05
D1_nextday_AUDUSD,2856,-0.0003,-2.29,0.98,0.0005,2.36,1.94,0.011,0.0,0.2727,0.3598,0.0,FAIL,p_is<0.01; wf>0 & p_wf<0.05; boot P(<=0)<0.05
intraday_h2h_basket_high,254,0.0004,2.15,0.023,-0.0001,-0.68,-0.55,0.7592,0.0001,0.0659,0.3058,-0.0,FAIL,p_is<0.01; ho t>2 & p<0.05; wf>0 & p_wf<0.05; boot P(<=0)<0.05; trim>0
intraday_h1h_USDJPY,809,0.0002,2.0,0.02,-0.0001,-0.44,-0.55,0.6583,0.0001,0.015,0.0882,0.0001,FAIL,|t_is|>2; p_is<0.01; ho t>2 & p<0.05; boot P(<=0)<0.05
intraday_h8h_basket_high,254,0.0004,1.94,0.038,-0.0003,-1.06,-0.99,0.8621,0.0001,0.042,0.3182,0.0,FAIL,|t_is|>2; p_is<0.01; ho t>2 & p<0.05; boot P(<=0)<0.05
intraday_h4h_basket_high,254,0.0004,1.88,0.033,-0.0001,-0.34,-0.29,0.6184,0.0001,0.0579,0.3356,0.0,FAIL,|t_is|>2; p_is<0.01; ho t>2 & p<0.05; wf>0 & p_wf<0.05; boot P(<=0)<0.05
intraday_h1h_basket_high,254,0.0003,1.69,0.044,-0.0002,-1.22,-0.92,0.8821,0.0,0.2607,0.4132,-0.0001,FAIL,|t_is|>2; p_is<0.01; ho t>2 & p<0.05; wf>0 & p_wf<0.05; boot P(<=0)<0.05; trim>0
intraday_h24h_basket_high,254,0.0006,1.68,0.047,-0.0,-0.12,-0.13,0.5375,0.0003,0.001,0.174,0.0004,FAIL,|t_is|>2; p_is<0.01; ho t>2 & p<0.05; boot P(<=0)<0.05
intraday_h4h_USDJPY,809,0.0002,1.6,0.0649,-0.0,-0.22,-0.26,0.5844,0.0001,0.003,0.1094,0.0002,FAIL,|t_is|>2; p_is<0.01; ho t>2 & p<0.05; boot P(<=0)<0.05
intraday_h12h_basket,809,0.0002,1.34,0.0909,-0.0,-0.2,-0.19,0.5764,0.0001,0.01,0.174,0.0001,FAIL,|t_is|>2; p_is<0.01; ho t>2 & p<0.05; boot P(<=0)<0.05
D1_nextday_USDCAD,2856,-0.0001,-1.29,0.9101,0.0003,2.58,2.22,0.01,0.0,0.4306,0.2652,0.0,FAIL,|t_is|>2; p_is<0.01; wf>0 & p_wf<0.05; boot P(<=0)<0.05
D1_nextday_USDJPY,2856,0.0001,1.14,0.1169,0.0008,3.78,3.16,0.001,0.0004,0.004,0.0016,0.0004,FAIL,|t_is|>2; p_is<0.01
intraday_h2h_basket,809,0.0001,1.05,0.1399,-0.0002,-1.88,-1.95,0.973,-0.0,0.5435,0.5348,0.0,FAIL,|t_is|>2; p_is<0.01; ho t>2 & p<0.05; wf>0 & p_wf<0.05; boot P(<=0)<0.05
intraday_h24h_basket,807,0.0002,0.91,0.1708,0.0002,0.75,0.69,0.2388,0.0002,0.003,0.1016,0.0002,FAIL,|t_is|>2; p_is<0.01; ho t>2 & p<0.05; boot P(<=0)<0.05
intraday_h8h_basket,809,0.0001,0.78,0.2278,-0.0001,-0.88,-0.9,0.7952,-0.0,0.6034,0.546,0.0,FAIL,|t_is|>2; p_is<0.01; ho t>2 & p<0.05; wf>0 & p_wf<0.05; boot P(<=0)<0.05
intraday_h4h_basket,809,0.0001,0.71,0.2458,-0.0001,-1.02,-1.06,0.8432,-0.0,0.954,0.7024,0.0,FAIL,|t_is|>2; p_is<0.01; ho t>2 & p<0.05; wf>0 & p_wf<0.05; boot P(<=0)<0.05
D1_nextday_basket,2856,-0.0001,-0.68,0.7283,0.0005,3.35,2.65,0.001,0.0001,0.5315,0.0414,0.0001,FAIL,|t_is|>2; p_is<0.01; wf>0 & p_wf<0.05
intraday_h1h_basket,809,0.0,0.64,0.2597,-0.0002,-2.75,-2.78,0.998,-0.0,0.6264,0.5686,0.0,FAIL,|t_is|>2; p_is<0.01; ho t>2 & p<0.05; wf>0 & p_wf<0.05; boot P(<=0)<0.05
D1_nextday_GBPUSD,2856,0.0,0.12,0.4486,0.0005,2.9,2.29,0.004,0.0001,0.0699,0.079,0.0001,FAIL,|t_is|>2; p_is<0.01; wf>0 & p_wf<0.05; boot P(<=0)<0.05
D1_nextday_EURUSD,2856,0.0,0.0,0.4715,0.0003,1.92,1.5,0.031,0.0001,0.0879,0.0634,0.0001,FAIL,|t_is|>2; p_is<0.01; ho t>2 & p<0.05; wf>0 & p_wf<0.05; boot P(<=0)<0.05
