pair,trades,n,is_mean,is_t,p_is,ho_mean,ho_t,p_ho,wf_mean,p_wf,boot_p,trim,VERDICT,gates
AUDUSD-USDJPY,18,2601,-2e-05,-2.39,0.998,-1e-05,-0.43,0.6404,0.0,0.1668,1.0,-0.00309,FAIL,p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05; trim>0
EURUSD-AUDUSD,12,2601,-1e-05,-1.58,0.9231,-0.0,-0.3,0.6144,0.0,0.1668,1.0,-0.00051,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05; trim>0
GBPUSD-GOLD,9,2213,1e-05,1.16,0.2378,0.0,0.06,0.4386,0.0,0.4016,0.3548,0.00019,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05
AUDUSD-GOLD,9,2213,0.0,1.15,0.2238,1e-05,0.78,0.1868,-0.0,0.8981,0.8136,0.00044,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05
AUDUSD-USDCAD,25,2601,3e-05,1.05,0.1738,3e-05,0.66,0.3846,1e-05,0.4386,0.1998,0.00462,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05
GBPUSD-USDJPY,21,2601,-2e-05,-1.04,0.8162,-1e-05,-1.38,0.9041,-0.0,0.3017,0.8678,-0.00297,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05; trim>0
USDCAD-SILVER,18,2213,-1e-05,-0.96,0.8012,2e-05,1.39,0.1199,1e-05,0.1628,0.367,-0.00074,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05; trim>0
EURUSD-USDJPY,9,2601,0.0,0.76,0.3676,0.0,0.61,0.2637,0.0,0.4675,0.1338,0.00045,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05
EURUSD-GOLD,21,2213,-1e-05,-0.72,0.6973,1e-05,0.51,0.3117,-1e-05,0.9041,1.0,-0.0003,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05; trim>0
USDCAD-GOLD,14,2213,-1e-05,-0.54,0.6863,-2e-05,-0.96,0.8092,-0.0,0.5455,0.7544,-0.00054,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05; trim>0
USDJPY-USDCAD,18,2601,-1e-05,-0.51,0.6703,2e-05,0.72,0.3437,-0.0,0.8082,0.8206,-0.00104,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05; trim>0
GBPUSD-USDCAD,15,2601,0.0,0.39,0.3347,1e-05,0.83,0.3536,0.0,0.5445,0.4206,0.00078,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05
USDJPY-SILVER,18,2213,0.0,0.32,0.4056,4e-05,1.13,0.1568,1e-05,0.4276,0.236,0.00041,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05
EURUSD-USDCAD,27,2601,-0.0,-0.32,0.6204,1e-05,0.54,0.3237,0.0,0.2517,0.2828,0.00027,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05
EURUSD-GBPUSD,9,2601,-0.0,-0.3,0.6034,0.0,0.62,0.3846,-0.0,0.6713,1.0,-9e-05,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05; trim>0
GBPUSD-AUDUSD,6,2601,-0.0,-0.25,0.6513,-0.0,-0.0,0.4915,-0.0,0.8282,1.0,-0.0,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05; trim>0
GBPUSD-SILVER,15,2213,0.0,0.23,0.4116,-0.0,-0.31,0.7522,-0.0,0.4336,0.5322,-0.00029,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05; trim>0
USDJPY-GOLD,33,2213,0.0,0.02,0.4775,-2e-05,-0.98,0.8252,-1e-05,0.6663,0.834,-0.0026,FAIL,|t_is|>2; p_is<0.01; ho t>2&p<0.05; wf>0&p<0.05; boot<0.05; trim>0
EURUSD-SILVER,6,2213,,,,,,,,,,,INSUFFICIENT,no trades in IS or OOS
AUDUSD-SILVER,15,2213,,,,,,,,,,,INSUFFICIENT,no trades in IS or OOS
GOLD-SILVER,9,2513,,,,,,,,,,,INSUFFICIENT,no trades in IS or OOS
