kind,key,commodity,months,label,mechanism,source,direction,sel_n,sel_mean,sel_t,n_hold,ho_mean,ho_t,win,p_mc,ho_h1,ho_h2,t212,net_mean_8%,net_t_8%,win_8%,net_mean_15%,net_t_15%,win_15%,net_mean_25%,net_t_25%,win_25%
grid,HE_8-8,HE,08-08,HE 08,single-month grid,grid,-1,14,-0.14570006835904545,-4.327358102957255,12,0.1387954936811642,5.6222148588766805,0.9166666666666666,0.000999000999000999,0.12063743461539235,0.156953552746936,Y,0.14462882701449753,5.85850677638508,0.9166666666666666,0.1387954936811642,5.6222148588766805,0.9166666666666666,0.13046216034783087,5.284654976721823,0.9166666666666666
named,HE_8-8,HE,08-08,Hogs Aug,prior-study claim (SHORT),ATLAS prior study,-1,14,-0.14570006835904545,-4.327358102957255,12,0.1387954936811642,5.6222148588766805,0.9166666666666666,0.000999000999000999,0.12063743461539235,0.156953552746936,Y,0.14462882701449753,5.85850677638508,0.9166666666666666,0.1387954936811642,5.6222148588766805,0.9166666666666666,0.13046216034783087,5.284654976721823,0.9166666666666666
named,HE_4-4,HE,04-04,Hogs Apr,prior-study claim (LONG),ATLAS prior study,1,14,0.07460454466238738,2.44278503099138,12,0.0570031489355482,3.2395726219895984,0.8333333333333334,0.003996003996003996,0.09193787453472828,0.022068423336368142,Y,0.06283648226888153,3.571089517362744,0.8333333333333334,0.0570031489355482,3.2395726219895984,0.8333333333333334,0.048669815602214866,2.765977057170818,0.75
grid,HE_4-4,HE,04-04,HE 04,single-month grid,grid,1,14,0.07460454466238738,2.44278503099138,12,0.0570031489355482,3.2395726219895984,0.8333333333333334,0.005994005994005994,0.09193787453472828,0.022068423336368142,Y,0.06283648226888153,3.571089517362744,0.8333333333333334,0.0570031489355482,3.2395726219895984,0.8333333333333334,0.048669815602214866,2.765977057170818,0.75
named,NG_12-2,NG,12-02,NatGas winter premium,space-heating demand peak,EIA 2013; CME,-1,14,-0.03493032889624664,-0.3410361105488754,11,0.2264921258551036,2.3247744371361123,0.7272727272727273,0.000999000999000999,0.11170014691682977,0.3221521083036651,?,0.24399212585510358,2.5043990156784535,0.7272727272727273,0.2264921258551036,2.3247744371361123,0.7272727272727273,0.2014921258551036,2.068167896361339,0.6363636363636364
grid,HE_12-12,HE,12-12,HE 12,single-month grid,grid,1,14,0.02507257276932648,1.3008076857356698,11,0.04703124790735744,2.005489737831047,0.7272727272727273,0.023976023976023976,0.08980505391390489,0.011386409568567889,Y,0.05286458124069076,2.254232662118149,0.8181818181818182,0.04703124790735744,2.005489737831047,0.7272727272727273,0.0386979145740241,1.6501427031351854,0.7272727272727273
grid,RB_9-9,RB,09-09,RB 09,single-month grid,grid,-1,14,-0.0787255903085559,-2.4189460228069715,11,0.0556042207997248,1.9827862932511855,0.6363636363636364,0.01098901098901099,0.05893905672546781,0.05282519086160562,Y,0.06143755413305814,2.190796642302886,0.6363636363636364,0.0556042207997248,1.9827862932511855,0.6363636363636364,0.04727088746639146,1.6856286517487558,0.6363636363636364
grid,ZC_7-7,ZC,07-07,ZC 07,single-month grid,grid,-1,14,-0.02620658652645913,-0.6768538510188615,12,0.04861573813319294,1.7646998779744258,0.75,0.001998001998001998,0.018667012545307286,0.0785644637210786,Y,0.05444907146652628,1.9764437086103956,0.75,0.04861573813319294,1.7646998779744258,0.75,0.04028240479985961,1.4622086913516112,0.75
grid,NG_12-12,NG,12-12,NG 12,single-month grid,grid,-1,15,-0.0272676827094273,-0.5122594517919963,11,0.10021167173420248,1.7244105091039572,0.6363636363636364,0.001998001998001998,0.042628525255008765,0.14819762713353055,?,0.1060450050675358,1.8247886499834611,0.6363636363636364,0.10021167173420248,1.7244105091039572,0.6363636363636364,0.09187833840086913,1.5810131649903794,0.6363636363636364
grid,ZW_9-9,ZW,09-09,ZW 09,single-month grid,grid,1,15,0.009209677734182102,0.3316518499229066,11,0.030753600623894692,1.6867383137635117,0.7272727272727273,0.022977022977022976,0.045904847121677375,0.01812756187574245,Y,0.03658693395722803,2.0066783087780236,0.7272727272727273,0.030753600623894692,1.6867383137635117,0.7272727272727273,0.022420267290561367,1.2296811780284953,0.6363636363636364
grid,ZC_12-12,ZC,12-12,ZC 12,single-month grid,grid,1,15,0.0592736539803238,3.1457017074258924,11,0.019720722078436972,1.5664167992490468,0.7272727272727273,0.030969030969030968,0.0032851267521835834,0.03341705151698147,Y,0.025554055411770308,2.0297584199366496,0.8181818181818182,0.019720722078436972,1.5664167992490468,0.7272727272727273,0.011387388745103644,0.9045001982667578,0.45454545454545453
named,ZC_12-12,ZC,12-12,Corn post-harvest low,harvest low + storage carry,CME grains course,1,15,0.0592736539803238,3.1457017074258924,11,0.019720722078436972,1.5664167992490468,0.7272727272727273,0.027972027972027972,0.0032851267521835834,0.03341705151698147,Y,0.025554055411770308,2.0297584199366496,0.8181818181818182,0.019720722078436972,1.5664167992490468,0.7272727272727273,0.011387388745103644,0.9045001982667578,0.45454545454545453
grid,HE_5-5,HE,05-05,HE 05,single-month grid,grid,1,14,0.012568230592796947,0.749192620368082,12,0.02972195874648405,1.4809606352057973,0.6666666666666666,0.04795204795204795,0.03838275369659396,0.021061163796374155,Y,0.03555529207981738,1.7716190373786493,0.75,0.02972195874648405,1.4809606352057973,0.6666666666666666,0.02138862541315072,1.0657343463874371,0.5833333333333334
grid,HE_2-2,HE,02-02,HE 02,single-month grid,grid,1,14,0.04914556062027109,2.786204477369939,12,0.035400979140272126,1.3817586680082539,0.5833333333333334,0.024975024975024976,-0.021821530233479224,0.09262348851402348,Y,0.04123431247360546,1.6094432996896832,0.5833333333333334,0.035400979140272126,1.3817586680082539,0.5833333333333334,0.0270676458069388,1.0564949084633555,0.5833333333333334
named,HE_2-2,HE,02-02,Hogs Feb,prior-study claim (LONG),ATLAS prior study,1,14,0.04914556062027109,2.786204477369939,12,0.035400979140272126,1.3817586680082539,0.5833333333333334,0.03396603396603397,-0.021821530233479224,0.09262348851402348,Y,0.04123431247360546,1.6094432996896832,0.5833333333333334,0.035400979140272126,1.3817586680082539,0.5833333333333334,0.0270676458069388,1.0564949084633555,0.5833333333333334
named,GC_1-1,GC,01-01,Gold January fade,post-holiday demand lull,SSRN 2598514,1,14,0.021583440321017992,1.478325757109203,12,0.013525723315383336,1.2834887210824248,0.75,0.01098901098901099,0.022934388973235586,0.004117057657531089,?,0.019359056648716667,1.8370278823583468,0.75,0.013525723315383336,1.2834887210824248,0.75,0.005192389982050005,0.4927184906882504,0.6666666666666666
grid,GC_1-1,GC,01-01,GC 01,single-month grid,grid,1,14,0.021583440321017992,1.478325757109203,12,0.013525723315383336,1.2834887210824248,0.75,0.012987012987012988,0.022934388973235586,0.004117057657531089,?,0.019359056648716667,1.8370278823583468,0.75,0.013525723315383336,1.2834887210824248,0.75,0.005192389982050005,0.4927184906882504,0.6666666666666666
named,RB_9-10,RB,09-10,Gasoline winter-blend switch,cheaper blend re-pricing,AAA winter-blend,-1,14,-0.16721013408060678,-2.3627281995600615,11,0.04295451672143736,1.2500628210273683,0.6363636363636364,0.06893106893106893,0.05558310780652888,0.03243069081719442,Y,0.05462118338810402,1.5895862834818022,0.6363636363636364,0.04295451672143736,1.2500628210273683,0.6363636363636364,0.02628785005477068,0.7650293032353193,0.6363636363636364
grid,LE_10-10,LE,10-10,LE 10,single-month grid,grid,1,14,0.014783902134589978,1.2015459576698473,11,0.014314649149459884,1.1746454848441827,0.5454545454545454,0.006993006993006993,0.04013159178829891,-0.007199469716239317,Y,0.020147982482793206,1.6533228586343462,0.6363636363636364,0.014314649149459884,1.1746454848441827,0.5454545454545454,0.00598131581612655,0.490820665143948,0.5454545454545454
named,HE_10-10,HE,10-10,Hogs Oct,prior-study claim (SHORT),ATLAS prior study,-1,14,-0.06022228805243102,-2.2901638615424136,11,0.03848466307189008,1.0474825404094843,0.6363636363636364,0.03896103896103896,-0.010027913469587674,0.0789118101897882,Y,0.04431799640522341,1.2062552652126386,0.7272727272727273,0.03848466307189008,1.0474825404094843,0.6363636363636364,0.03015132973855675,0.8206643621192637,0.6363636363636364
grid,HE_10-10,HE,10-10,HE 10,single-month grid,grid,-1,14,-0.06022228805243102,-2.2901638615424136,11,0.03848466307189008,1.0474825404094843,0.6363636363636364,0.03996003996003996,-0.010027913469587674,0.0789118101897882,Y,0.04431799640522341,1.2062552652126386,0.7272727272727273,0.03848466307189008,1.0474825404094843,0.6363636363636364,0.03015132973855675,0.8206643621192637,0.6363636363636364
grid,SB_3-3,SB,03-03,SB 03,single-month grid,grid,-1,14,-0.0808748687679209,-2.3487957898227285,12,0.03496796116742787,0.9941729879120841,0.5,0.005994005994005994,0.08797081051396162,-0.01803488817910589,Y,0.04080129450076121,1.1600203017351491,0.5,0.03496796116742787,0.9941729879120841,0.5,0.026634627834094534,0.757248253879134,0.5
grid,SB_9-9,SB,09-09,SB 09,single-month grid,grid,1,15,0.0063668065898801985,0.23617785549130108,11,0.019376481944026084,0.9399895569721152,0.6363636363636364,0.03996003996003996,0.022450750066360426,0.016814591842080805,Y,0.025209815277359424,1.222975520652752,0.6363636363636364,0.019376481944026084,0.9399895569721152,0.6363636363636364,0.011043148610692756,0.5357238945712063,0.45454545454545453
